name,committee,role
Tuomas Borman,Local,
Tuomas Borman,Community,General member
Leo Lahti,Local,
Leo Lahti,Community,
Helena Crowell,Community,
Maria Doyle,Community,Communications
James Dalgleish,Community,"Partnerships, reviewer "
Michael Stadler,Community,"Scientific program, reviewer"
Annekathrin Nedwed,Community,
Kevin Rue-Albrecht,Community,
Najla Abassi,Community,
Charlotte Soneson,Community,Scientific program
Laurent Gatto,Community,
Robert Castelo,Community,Partnerships
Dario Righelli,Community,
Lena Morrill Gavarro,Community,
Robert Ivánek,Community,
Eliana Ibrahimi,Community,"Scientific program, reviewer"
Lieven Clement,Community,
Federico Marini,Community,
Dania Machlab,Community,Scientific Program
Teemu Daniel Laajala,Local,Partnerships
Julia Mathlin,Local,"Partnerships, Communications"
Nyasita Laurah Ondari,Community,Communications
